hostname,disposition,sy_snum
EPIC 205046529,FALSE POSITIVE,1
EPIC 205047565,CANDIDATE,1
EPIC 205050711,CANDIDATE,1
EPIC 205064326,FALSE POSITIVE,1
EPIC 205084841,CANDIDATE,1
EPIC 205145448,CANDIDATE,1
EPIC 205146011,CANDIDATE,1
EPIC 205148699,FALSE POSITIVE,1
EPIC 205152172,CANDIDATE,1
EPIC 205170731,CANDIDATE,1
EPIC 205205452,CANDIDATE,1
EPIC 205224877,CANDIDATE,1
EPIC 205242733,CANDIDATE,1
EPIC 205252523,CANDIDATE,1
EPIC 205377483,CANDIDATE,1
EPIC 205463986,CANDIDATE,1
EPIC 205470347,CANDIDATE,1
EPIC 205483055,CANDIDATE,1
EPIC 205483258,FALSE POSITIVE,1
EPIC 205489894,CANDIDATE,1
EPIC 205503762,CANDIDATE,1
EPIC 205530323,CANDIDATE,1
EPIC 205570849,CANDIDATE,1
EPIC 205618538,CANDIDATE,1
EPIC 205632508,CANDIDATE,1
EPIC 205652650,CANDIDATE,1
EPIC 205703094,CANDIDATE,1
EPIC 205938820,CANDIDATE,1
EPIC 205939498,CANDIDATE,1
EPIC 205943325,CANDIDATE,1
EPIC 205944181,CANDIDATE,1
EPIC 205947161,CANDIDATE,1
EPIC 205947214,CANDIDATE,1
K2-168,CONFIRMED,1
EPIC 205951125,CANDIDATE,1
EPIC 205957328,CANDIDATE,1
EPIC 205962305,CANDIDATE,1
EPIC 205969319,CANDIDATE,1
EPIC 205976958,CANDIDATE,1
EPIC 205979483,FALSE POSITIVE,1
EPIC 205981465,CANDIDATE,1
EPIC 205990339,FALSE POSITIVE,1
EPIC 205996447,CANDIDATE,1
EPIC 205998649,CANDIDATE,1
EPIC 205999468,CANDIDATE,1
EPIC 206011849,CANDIDATE,1
EPIC 206024342,CONFIRMED,1
EPIC 206028176,CANDIDATE,1
EPIC 206029242,CANDIDATE,1
EPIC 206029450,CANDIDATE,1
EPIC 206031623,CANDIDATE,1
EPIC 206032309,CONFIRMED,1
EPIC 206036749,CANDIDATE,1
EPIC 206042996,CONFIRMED,1
EPIC 206047055,CANDIDATE,1
EPIC 206049452,CANDIDATE,1
EPIC 206056433,CANDIDATE,1
EPIC 206061524,CANDIDATE,1
EPIC 206065006,FALSE POSITIVE,1
EPIC 206114294,CANDIDATE,1
EPIC 206114630,CANDIDATE,1
EPIC 206133795,CANDIDATE,1
EPIC 206135075,CANDIDATE,1
EPIC 206135170,CANDIDATE,1
HIP 109695 A,CANDIDATE,1
K2-368,CANDIDATE,1
EPIC 206151047,CANDIDATE,1
EPIC 206152015,CANDIDATE,1
EPIC 206155922,CANDIDATE,1
