hostname,disposition,sy_snum
K2-51,FALSE POSITIVE,1
K2-52,CONFIRMED,1
K2-53,CONFIRMED,1
K2-54,CONFIRMED,1
K2-55,CONFIRMED,1
K2-57,CONFIRMED,1
K2-58,CONFIRMED,1
K2-59,CONFIRMED,1
K2-6,CONFIRMED,1
K2-60,CONFIRMED,1
K2-61,CONFIRMED,1
K2-62,CONFIRMED,1
K2-63,CONFIRMED,1
K2-64,CONFIRMED,1
K2-65,CONFIRMED,1
K2-66,CONFIRMED,1
K2-67,FALSE POSITIVE,1
K2-69,CONFIRMED,1
K2-7,CONFIRMED,1
K2-70,CONFIRMED,1
K2-71,CONFIRMED,1
K2-72,CONFIRMED,1
K2-73,CONFIRMED,1
K2-74,CONFIRMED,1
K2-75,CONFIRMED,1
K2-76,FALSE POSITIVE,1
K2-77,CONFIRMED,1
K2-78,FALSE POSITIVE,1
K2-79,CONFIRMED,1
K2-8,CONFIRMED,1
K2-80,CONFIRMED,1
K2-81,CONFIRMED,1
K2-82,FALSE POSITIVE,1
K2-84,CONFIRMED,1
K2-85,CONFIRMED,1
K2-86,CONFIRMED,1
K2-87,CONFIRMED,1
K2-88,CONFIRMED,1
K2-89,CONFIRMED,1
K2-9,CONFIRMED,1
K2-90,CONFIRMED,1
K2-91,CONFIRMED,1
K2-92,FALSE POSITIVE,1
K2-95,CONFIRMED,1
K2-97,CONFIRMED,1
K2-98,CONFIRMED,1
K2-99,CONFIRMED,1
Qatar-2,CONFIRMED,1
TRAPPIST-1,CONFIRMED,1
V1298 Tau,CONFIRMED,3
WASP-107,CONFIRMED,1
WASP-118,CONFIRMED,1
WASP-151,CONFIRMED,1
WASP-157,CONFIRMED,1
WASP-28,CONFIRMED,1
WASP-47,CONFIRMED,1
WASP-55,CONFIRMED,2
WASP-75,CONFIRMED,2
WASP-85 A,CONFIRMED,2
Wolf 503,CONFIRMED,1
